Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,9,asymmetric,0.9099999999999999,0.5642158453564983
75% Corpus,9,asymmetric,symmetric,0.6566583649715861
75% Corpus,10,0.01,0.01,0.6649661013259728
75% Corpus,10,0.01,0.31,0.6396865001870176
75% Corpus,10,0.01,0.61,0.6139357629533453
75% Corpus,10,0.01,0.9099999999999999,0.5525087351090008
75% Corpus,10,0.01,symmetric,0.6464134480582295
75% Corpus,10,0.31,0.01,0.6661772338697112
75% Corpus,10,0.31,0.31,0.6474786811271377
75% Corpus,10,0.31,0.61,0.5940949397282315
75% Corpus,10,0.31,0.9099999999999999,0.5617212695767274
75% Corpus,10,0.31,symmetric,0.6474757277936083
75% Corpus,10,0.61,0.01,0.6503290758436312
75% Corpus,10,0.61,0.31,0.6406431734800713
75% Corpus,10,0.61,0.61,0.6089172382958713
75% Corpus,10,0.61,0.9099999999999999,0.5947712384529446
75% Corpus,10,0.61,symmetric,0.6389510965498968
75% Corpus,10,0.9099999999999999,0.01,0.6248306791252383
75% Corpus,10,0.9099999999999999,0.31,0.6116864480715372
75% Corpus,10,0.9099999999999999,0.61,0.6002252556082691
75% Corpus,10,0.9099999999999999,0.9099999999999999,0.593923282171421
75% Corpus,10,0.9099999999999999,symmetric,0.6270742560858126
75% Corpus,10,symmetric,0.01,0.6591634149495241
75% Corpus,10,symmetric,0.31,0.6316932034363381
75% Corpus,10,symmetric,0.61,0.5919578857537727
75% Corpus,10,symmetric,0.9099999999999999,0.5617513283817485
75% Corpus,10,symmetric,symmetric,0.6489037216926711
75% Corpus,10,asymmetric,0.01,0.6801646390455084
75% Corpus,10,asymmetric,0.31,0.6007642377459337
75% Corpus,10,asymmetric,0.61,0.5581240106681923
75% Corpus,10,asymmetric,0.9099999999999999,0.607824562252245
75% Corpus,10,asymmetric,symmetric,0.6931759963982552
100% Corpus,2,0.01,0.01,0.6884370776024837
100% Corpus,2,0.01,0.31,0.6745446159374264
100% Corpus,2,0.01,0.61,0.6861311251661835
100% Corpus,2,0.01,0.9099999999999999,0.6852520385938383
100% Corpus,2,0.01,symmetric,0.6679259828387996
100% Corpus,2,0.31,0.01,0.6754653343976991
100% Corpus,2,0.31,0.31,0.6887334587130258
100% Corpus,2,0.31,0.61,0.6748754747426834
100% Corpus,2,0.31,0.9099999999999999,0.6886868292048007
100% Corpus,2,0.31,symmetric,0.6882283599421432
100% Corpus,2,0.61,0.01,0.688390888082653
100% Corpus,2,0.61,0.31,0.7015493842195912
100% Corpus,2,0.61,0.61,0.7034410954784978
100% Corpus,2,0.61,0.9099999999999999,0.7034410954784978
100% Corpus,2,0.61,symmetric,0.6889920788974495
100% Corpus,2,0.9099999999999999,0.01,0.672450773379546
100% Corpus,2,0.9099999999999999,0.31,0.7034410954784978
100% Corpus,2,0.9099999999999999,0.61,0.7046809805706067
100% Corpus,2,0.9099999999999999,0.9099999999999999,0.686642006319527
100% Corpus,2,0.9099999999999999,symmetric,0.7283867300967299
100% Corpus,2,symmetric,0.01,0.6572691126629957
100% Corpus,2,symmetric,0.31,0.7015493842195912
100% Corpus,2,symmetric,0.61,0.6854035862704402
100% Corpus,2,symmetric,0.9099999999999999,0.7006160530875263
100% Corpus,2,symmetric,symmetric,0.7015493842195912
100% Corpus,2,asymmetric,0.01,0.705292642003047
100% Corpus,2,asymmetric,0.31,0.6974163304359662
100% Corpus,2,asymmetric,0.61,0.6873873930716807
100% Corpus,2,asymmetric,0.9099999999999999,0.7103191745636754
100% Corpus,2,asymmetric,symmetric,0.7041343526983883
100% Corpus,3,0.01,0.01,0.6577682979706603
100% Corpus,3,0.01,0.31,0.6490966880303162
100% Corpus,3,0.01,0.61,0.6108131990871856
